settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag
17/11/2022,16,16,2022-11-17T07:57:00Z,2022-11-17T07:58:00Z,3,0,2,2022-11-17T07:40:00Z,FALSE,FALSE,FALSE,FALSE
17/11/2022,16,16,2022-11-17T07:42:00Z,2022-11-17T07:57:00Z,3,3,2,2022-11-17T07:40:00Z,FALSE,FALSE,FALSE,FALSE
17/11/2022,16,16,2022-11-17T07:41:00Z,2022-11-17T07:42:00Z,0,3,2,2022-11-17T07:40:00Z,FALSE,FALSE,FALSE,FALSE
16/11/2022,23,24,2022-11-16T11:15:00Z,2022-11-16T11:30:00Z,0,0,1,2022-11-16T11:11:00Z,FALSE,FALSE,FALSE,FALSE
16/11/2022,23,23,2022-11-16T11:14:00Z,2022-11-16T11:15:00Z,10,0,1,2022-11-16T11:11:00Z,FALSE,FALSE,FALSE,FALSE
25/11/2022,8,8,2022-11-25T03:48:00Z,2022-11-25T03:49:00Z,-2,0,304,2022-11-25T03:36:00Z,FALSE,FALSE,FALSE,FALSE
25/11/2022,8,8,2022-11-25T03:38:00Z,2022-11-25T03:48:00Z,-2,-2,304,2022-11-25T03:36:00Z,FALSE,FALSE,FALSE,FALSE
25/11/2022,8,8,2022-11-25T03:37:00Z,2022-11-25T03:38:00Z,0,-2,304,2022-11-25T03:36:00Z,FALSE,FALSE,FALSE,FALSE
24/11/2022,4,4,2022-11-24T01:40:00Z,2022-11-24T01:41:00Z,-3,0,303,2022-11-24T01:28:00Z,FALSE,TRUE,FALSE,FALSE
24/11/2022,4,4,2022-11-24T01:30:00Z,2022-11-24T01:40:00Z,-3,-3,303,2022-11-24T01:28:00Z,FALSE,TRUE,FALSE,FALSE
24/11/2022,3,4,2022-11-24T01:29:00Z,2022-11-24T01:30:00Z,0,-3,303,2022-11-24T01:28:00Z,FALSE,TRUE,FALSE,FALSE
09/02/2023,5,5,2023-02-09T02:16:00Z,2023-02-09T02:17:00Z,7,0,906,2023-02-09T01:53:00Z,FALSE,FALSE,FALSE,FALSE
09/02/2023,5,5,2023-02-09T02:01:00Z,2023-02-09T02:16:00Z,7,7,906,2023-02-09T01:53:00Z,FALSE,FALSE,FALSE,FALSE
09/02/2023,5,5,2023-02-09T02:00:00Z,2023-02-09T02:01:00Z,0,7,906,2023-02-09T01:53:00Z,FALSE,FALSE,FALSE,FALSE
07/02/2023,20,21,2023-02-07T09:59:00Z,2023-02-07T10:00:00Z,-8,0,905,2023-02-07T09:42:00Z,FALSE,FALSE,FALSE,FALSE
07/02/2023,20,20,2023-02-07T09:44:00Z,2023-02-07T09:59:00Z,-8,-8,905,2023-02-07T09:42:00Z,FALSE,FALSE,FALSE,FALSE
07/02/2023,20,20,2023-02-07T09:43:00Z,2023-02-07T09:44:00Z,0,-8,905,2023-02-07T09:42:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,24,24,2023-02-18T11:46:00Z,2023-02-18T11:47:00Z,0,-3,920,2023-02-18T11:32:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,24,24,2023-02-18T11:45:00Z,2023-02-18T11:46:00Z,13,0,920,2023-02-18T11:32:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,24,24,2023-02-18T11:35:00Z,2023-02-18T11:45:00Z,13,13,920,2023-02-18T11:32:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,24,24,2023-02-18T11:34:00Z,2023-02-18T11:35:00Z,-2,0,920,2023-02-18T11:32:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,23,23,2023-02-18T11:22:00Z,2023-02-18T11:23:00Z,35,0,919,2023-02-18T11:13:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,23,23,2023-02-18T11:18:00Z,2023-02-18T11:22:00Z,35,35,919,2023-02-18T11:13:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,23,23,2023-02-18T11:18:00Z,2023-02-18T11:19:00Z,35,0,918,2023-02-18T11:08:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,23,23,2023-02-18T11:11:00Z,2023-02-18T11:18:00Z,35,35,918,2023-02-18T11:08:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,23,23,2023-02-18T11:10:00Z,2023-02-18T11:11:00Z,0,35,918,2023-02-18T11:08:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,6,6,2023-02-18T02:58:00Z,2023-02-18T02:59:00Z,-16,0,917,2023-02-18T02:42:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,6,6,2023-02-18T02:45:00Z,2023-02-18T02:58:00Z,-16,-16,917,2023-02-18T02:42:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,6,6,2023-02-18T02:44:00Z,2023-02-18T02:45:00Z,0,-16,917,2023-02-18T02:42:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,3,3,2023-02-18T01:00:00Z,2023-02-18T01:01:00Z,-14,0,916,2023-02-18T00:53:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,2,3,2023-02-18T00:56:00Z,2023-02-18T01:00:00Z,-14,-14,916,2023-02-18T00:53:00Z,FALSE,FALSE,FALSE,FALSE
18/02/2023,2,2,2023-02-18T00:55:00Z,2023-02-18T00:56:00Z,0,-14,916,2023-02-18T00:53:00Z,FALSE,FALSE,FALSE,FALSE
