Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
140.001,Accepted,NA,Social Energy Limited,SOC1-FFR,DNO connection,DSF: Storage (onsite),31/08/2021,30/09/2021,31.08.21 - 30.09.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.49,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,, ,,,N/A,H for only 30min
140.002,Accepted,NA,Social Energy Limited,SOC1-FFR,DNO connection,DSF: Storage (onsite),01/09/2021,30/09/2021,01.09.21 - 30.09.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,11.99,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
140.003,Accepted,NA,Social Energy Limited,SOC2-FFR,DNO connection,DSF: Storage (onsite),31/08/2021,30/09/2021,31.08.21 - 30.09.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.63,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
140.004,Accepted,NA,Social Energy Limited,SOC2-FFR,DNO connection,DSF: Storage (onsite),01/09/2021,30/09/2021,01.09.21 - 30.09.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,11.78,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
140.005,Accepted,NA,Social Energy Limited,SOC3-FFR,DNO connection,DSF: Storage (onsite),31/08/2021,30/09/2021,31.08.21 - 30.09.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.77,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
140.006,Accepted,NA,Social Energy Limited,SOC3-FFR,DNO connection,DSF: Storage (onsite),01/09/2021,30/09/2021,01.09.21 - 30.09.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,11.62,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
140.007,Accepted,NA,Social Energy Limited,SOC4-FFR,DNO connection,DSF: Storage (onsite),31/08/2021,30/09/2021,31.08.21 - 30.09.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.92,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
140.008,Accepted,NA,Social Energy Limited,SOC4-FFR,DNO connection,DSF: Storage (onsite),01/09/2021,30/09/2021,01.09.21 - 30.09.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,11.47,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
140.009,Accepted,NA,Social Energy Limited,SOC5-FFR,DNO connection,DSF: Storage (onsite),31/08/2021,30/09/2021,31.08.21 - 30.09.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,11.08,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
140.010,Accepted,NA,Social Energy Limited,SOC5-FFR,DNO connection,DSF: Storage (onsite),01/09/2021,30/09/2021,01.09.21 - 30.09.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,11.29,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,N/A,H for only 30min
