Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Comments 
139.001,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,175.2,0,,No,,,,,6.4,16,16,6.4,16,6.4,16,,,A,Mutually Exclusive to C,,,
139.002,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,181.6,0,,No,,,,,6.4,16,16,6.4,16,6.4,16,,,B,Mutually Exclusive to C,,,
139.003,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,177.28,0,,No,,,,,6.4,16,16,6.4,16,6.4,16,,,C,Mutually Exclusive to A + B,,,
139.004,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,,,,,,,280.8,,,,,,,,11.2,28,28,11.2,28,6.4,16,,,A,,,,
139.005,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,,,,,,,276.9,,,,,,,,11.2,28,28,11.2,28,6,15,,,B,,,,
139.006,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,,,,,,,253.5,,,,,,,,10,25,25,10,25,6,15,,,C,,,,
139.007,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,,,,2300,700,8,,,,195,,,,,,,,6.8,17,17,6.8,17,6.4,16,,,A,,,,
139.008,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,,,,700,1500,8,,,,179.4,,,,,,,,6,15,15,6,15,6.4,16,,,B,,,,
139.009,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,,,,1500,2300,8,,,,159.9,,,,,,,,5.2,13,13,5.2,13,6,15,,,C,,,,
139.01,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,,,,,,,2300,700,8,148.2,,,,,,,,4.8,12,12,4.8,12,5.6,14,,,A,,,,
139.011,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,,,,,,,700,1500,8,136.5,,,,,,,,4.4,11,11,4.4,11,5.2,13,,,B,,,,
139.012,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,,,,,,,1500,2300,8,156,,,,,,,,5.2,13,13,5.2,13,5.6,14,,,C,,,,
139.013,Accepted,NA,GridBeyond Limited,ENDSR-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,14,,,,,,,,,,,,,,,,,,,,5,
139.014,Accepted,NA,GridBeyond Limited,ENDSR-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,14,,,,,,,,,,,,,,,,,,,,5,
139.015,Accepted,NA,GridBeyond Limited,ENDSR-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,14,,,,,,,,,,,,,,,,,,,,5,
139.016,Accepted,NA,GridBeyond Limited,ENDSR-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,18,,,,,,,,,,,,,,,,,,,,6,
139.017,Accepted,NA,GridBeyond Limited,ENDSR-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,18,,,,,,,,,,,,,,,,,,,,6,
139.018,Accepted,NA,GridBeyond Limited,ENDSR-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,18,,,,,,,,,,,,,,,,,,,,6,
139.019,Accepted,NA,GridBeyond Limited,ENDSR-4,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,16,,,,,,,,,,,,,,,,,,,,5,
139.02,Accepted,NA,GridBeyond Limited,ENDSR-4,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,22.4,,,,,,,,,,,,,,,,,,,,7,
139.021,Accepted,NA,GridBeyond Limited,ENDSR-4,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,19.2,,,,,,,,,,,,,,,,,,,,6,
139.022,Accepted,NA,GridBeyond Limited,ENDSR-3,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,20.4,,,,,,,,,,,,,,,,,,,,6,
139.023,Accepted,NA,GridBeyond Limited,ENDSR-3,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,20.4,,,,,,,,,,,,,,,,,,,,6,
139.024,Accepted,NA,GridBeyond Limited,ENDSR-3,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,20.4,,,,,,,,,,,,,,,,,,,,6,
139.025,Accepted,NA,Limejump Ltd,LJDYN-2,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,153.14,,,,,,,,5.2,13,13,5.2,13,5.2,13,,,,,,H for 30 minutes only,
139.026,Accepted,NA,Limejump Ltd,LJDYN-2,DNO connection,DSF: Storage (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,154.05,,,,,,,,5.2,13,13,5.2,13,5.2,13,,,, ,,H for 30 minutes only,
139.027,Accepted,NA,Limejump Ltd,LJDYN-2,DNO connection,DSF: Storage (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,153.14,,,,,,,,5.2,13,13,5.2,13,5.2,13,,,,,,H for 30 minutes only,
139.028,Rejected,2,Limejump Energy Ltd,AG-HLIM04,TO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,999,,,,,,,,20,50,50,20,50,20,50,,,,,,H for 30 minutes only,
139.029,Accepted,NA,Kiwi Power Ltd,KIWIE-5,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,44,,,,,,,,1.6,4,4,1.6,4,1.6,4,,,,,,,
139.03,Accepted,NA,Kiwi Power Ltd,KIWIS-1,DNO connection,Multiple Fuel Type,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,52.35,,,,,,,,,,,,,,,,,,,,15,
139.031,Accepted,NA,Kiwi Power Ltd,KIWIS-1,DNO connection,Multiple Fuel Type,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,43.35,,,,,,,,,,,,,,,,,,,,15,
139.032,Accepted,NA,Peak Gen,PGFFR-5,DNO connection,DSF: Distributed generation (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,2300,16,700,2300,16,700,2300,16,71.819,,,,,,,,,,,,,,,,,,,,18,
139.033,Rejected,2,Peak Gen,PGFFR-9,DNO connection,DSF: Distributed generation (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,2300,16,700,2300,16,700,2300,16,63.84,,,,,,,,,,,,,,,,,,,,16,
139.034,Accepted,NA,Peak Gen,PGFFR-4,DNO connection,DSF: Distributed generation (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,2300,16,700,2300,16,700,2300,16,63.838,,,,,,,,,,,,,,,,,,,,16,
139.035,Rejected,2,Statkraft Markets GmbH,AG-MSTK01,DNO Connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,1008,,,,,,,,19.2,48,48,19.2,48,19.2,48,,,,,,,
139.036,Rejected,2,Habitat Energy Limited,HAB2-FFR,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,92,0,-,-,,,,,2,5,5,2,5,2,5,,,,,,,
139.037,Rejected,2,Habitat Energy Limited,HAB3-FFR,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,271.5,0,-,-,,,,,6,15,15,6,15,6,15,,,,,,,
139.038,Rejected,2,Habitat Energy Limited,AG-HEL00G,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,916.3,0,-,Yes,,,,,19.6,49,49,19.6,49,19.6,49,,,,,,,
