Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
141.001,Rejected,2,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,184.32,,,YES,,,,,3.6,9,9,3.6,9,3.6,9,,,, ,,,CM13,
141.002,Rejected,2,GRIDRESERVE LIMITED,ARNKB-3,DNO connection,Battery,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,539.11,,,,,,,,11.6,29,29,11.6,29,11.6,29,,,,,,,EH48,
141.003,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,70,,,,,,,,,,,,,,,,,, ,,20,IP3 0DZ,
141.004,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,70,,,,,,,,,,,,,,,,,,,,20,IP3 0DZ,
141.005,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,65.7,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,A,Mutually Exclusive to C,,,Various,
141.006,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,68.1,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,B,Mutually Exclusive to C,,,Various,
141.007,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,66.42,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,C,Mutually Exclusive to A + B,,,Various,
141.008,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,5.2,,,,,,,,,,,,,,,,,, ,,2,,
141.009,Accepted,NA,First Renewable Alpha Limited,TREGN-1,DNO connection,Diesel,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,55,,,,,,,,,,,,,,,,,, ,,20,PL32,
141.010,Rejected,2,Flexitricity Limited,AG-EFLX01,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,376.2,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,, ,,,HR1 4EP,
141.011,Rejected,2,Flexitricity Limited,AG-MFLX02,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,948.15,,,YES,,,,,19.96,49,49,19.96,49,19.96,49,,,,,,,S66 9JD,
141.012,Rejected,2,Flexitricity Limited,AG-BFLX02,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,198.4,,,YES,,,,,4,10,10,4,10,4,10,,,,,,,DE12 6RJ,
