Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
143.001,Rejected,1.2,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,190.53,,,YES,,,,,3.6,9,9,3.6,9,3.6,9,,,, ,,,CM13,
143.002,Rejected,1.2,GRIDRESERVE LIMITED,ARNKB-3,DNO connection,Battery,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,499.09,,,NO,,,,,11.6,29,29,11.6,29,11.6,29,,,,,,,EH48,
143.003,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,717.06,,,YES,,,,,14.8,37,37,14.8,37,14.8,37,,,,,,,WS2,
143.004,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,207,,,,,,,,7.2,18,18,7.2,18,7.2,18,,,A,Mutually Exclusive to C,,,various,
143.005,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,450,,,,,,,,7.2,18,18,7.2,18,7.2,18,,,B,Mutually Exclusive to C,,,various,
143.006,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,287.64,,,,,,,,7.2,18,18,7.2,18,7.2,18,,,C,Mutually Exclusive to A + B,,,various,
143.007,Accepted,NA,Centrica Brigg Ltd,ROOSB-1,DNO connection,Battery,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,253,,,Yes,,,,,8.8,22,22,8.8,22,8.8,22,,,A,Mutually Exclusive to C,,,LA13,
143.008,Accepted,NA,Centrica Brigg Ltd,ROOSB-1,DNO connection,Battery,01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,550,,,Yes,,,,,8.8,22,22,8.8,22,8.8,22,,,B,Mutually Exclusive to C,,,LA13,
143.009,Rejected,4,Centrica Brigg Ltd,ROOSB-1,DNO connection,Battery,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,383.5,,,Yes,,,,,8.8,22,22,8.8,22,8.8,22,,,C,Mutually Exclusive to A + B,,,LA13,
143.01,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,1100,12,2300,1100,12,2300,1100,12,3.19,,,,,,,,,,,,,,,,,, ,,1,,
143.011,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,6.35,,,,,,,,,,,,,,,,,,,,2,,
143.012,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1900,2300,4,1900,2300,4,1900,2300,4,6.35,,,,,,,,,,,,,,,,,,,,2,,
143.013,Accepted,NA,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,100.5,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,, ,,,MK45,
143.014,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF01 ,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,397.4,,,YES,,,,,8,20,20,8,20,8,20,,,,,,,SK10,
143.015,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF02,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,397,,,YES,,,,,8,20,20,8,20,8,20,,,,,,,BL9 5,
143.016,Accepted,NA,EDF Energy Customers Limited,EDFE-2,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,137.12,,,,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,DA1 5,
143.017,Rejected,1.2,EDF Energy Customers Limited,AG-AEDF02,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,931,,,YES,,,,,19.6,49,49,19.6,49,15.6,39,,,,,,,IP13,
143.018,Accepted,NA,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,300,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
143.019,Accepted,NA,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,280,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
143.02,Accepted,NA,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,700,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
143.021,Rejected,1.2,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,873.67,,,YES,,,,,19.6,49,49,19.6,49,19.6,49,,,,,,,ME10,
143.022,Accepted,NA,EDF Energy Customers Limited,EDFE-6,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,120.05,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG21,
143.023,Accepted,NA,First Renewable Alpha Limited,TREGN-1,DNO connection,Diesel,30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,60,,,,,,,,,,,,,,,,,, ,,20,PL32,
143.024,Accepted,NA,First Renewable Alpha Limited,TREGN-1,DNO connection,Diesel,01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,70,,,,,,,,,,,,,,,,,,,,20,PL32,
143.025,Accepted,NA,First Renewable Alpha Limited,TREGN-1,DNO connection,Diesel,01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),as per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,70,,,,,,,,,,,,,,,,,,,,20,PL32,
143.026,Accepted,NA,Flexitricity Limited,AG-FLX00L,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,60.8,0,,YES,,,,,1.6,4,4,1.6,4,1.6,4,,,, ,,,EX34 /EX31 ,
143.027,Accepted,NA,Flexitricity Limited,AG-FLX00L,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,46.4,0,,YES,,,,,1.6,4,4,1.6,4,1.6,4,,,,,,,EX34 /EX31 ,
143.028,Accepted,NA,Flexitricity Limited,AG-FLX00L,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,123.4,0,,YES,,,,,1.6,4,4,1.6,4,1.6,4,,,,,,,EX34 /EX31 ,
143.029,Rejected,1.2,Flexitricity Limited,AG-BFLX02,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,164.4,0,,YES,,,,,4,10,10,4,10,4,10,,,,,,,DE12,
143.03,Accepted,NA,Flexitricity Limited,AG-BFLX02,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,115.7,0,,YES,,,,,4,10,10,4,10,4,10,,,,,,,DE12,
143.031,Accepted,NA,Flexitricity Limited,AG-BFLX02,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,277.2,0,,YES,,,,,4,10,10,4,10,4,10,,,,,,,DE12,
143.032,Rejected,1.2,Flexitricity Limited,AG-EFLX01,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,312.36,0,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,HR1 4,
143.033,Accepted,NA,Flexitricity Limited,AG-EFLX01,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,219.07,0,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,HR1 4,
143.034,Accepted,NA,Flexitricity Limited,AG-EFLX01,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,566.39,0,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,HR1 4,
143.035,Accepted,NA,Flexitricity Limited,AG-BFLX01,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,112.35,0,,YES,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG32,
143.036,Accepted,NA,Flexitricity Limited,AG-BFLX01,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,81.13,0,,YES,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG32 ,
143.037,Accepted,NA,Flexitricity Limited,AG-BFLX01,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,187.18,0,,YES,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG32,
143.038,Accepted,NA,Flexitricity Limited,AG-NFLX01,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,125.76,0,,YES,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,KY1 3,
143.039,Accepted,NA,Flexitricity Limited,AG-NFLX01,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,92.64,0,,YES,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,KY1 3,
143.04,Accepted,NA,Flexitricity Limited,AG-NFLX01,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,178.16,0,,YES,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,KY1 3,
143.041,Rejected,1.2,Flexitricity Limited,AG-MFLX02,DNO connection,DSF: Storage (for export),30/11/2021,31/12/2021,30.11.21 - 31.12.21 (1 months),As per FFR framework agreement ,2300,1500,16,,,,,,,903.56,0,,YES,,,,,19.96,49,49,19.96,49,19.96,49,,,A,Cannot be accepted with B,,,S66 9,
143.042,Rejected,1.2,Flexitricity Limited,AG-MFLX02,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,1500,2300,8,,,,,,,903.56,0,,YES,,,,,19.96,44,44,19.96,44,19.96,49,,,A,Cannot be accepted with B,,,S66 9,
143.043,Rejected,1.2,Flexitricity Limited,AG-MFLX02,DNO connection,DSF: Storage (for export),01/12/2021,31/12/2021,01.12.21 - 31.12.21 (1 months),As per FFR framework agreement ,,,,2300,2300,24,2300,2300,24,903.56,0,,YES,,,,,19.96,49,49,19.96,49,19.96,49,,,A,Cannot be accepted with B,,,S66 9,
