Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
144.001,Accepted,NA,GRIDRESERVE LIMITED,ARNKB-3,DNO connection,Battery,31/12/2021,31/01/2022,31.12.21 - 31.01.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,292.9,,,,,,,,11.6,29,29,11.6,29,11.6,29,,,, ,,,EH48,
144.002,Accepted,NA,GRIDRESERVE LIMITED,ARNKB-3,DNO connection,Battery,01/01/2022,31/01/2022,01.01.22 - 31.01.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,263.61,,,,,,,,11.6,29,29,11.6,29,11.6,29,,,,,,,EH48,
144.003,Accepted,NA,GRIDRESERVE LIMITED,ARNKB-3,DNO connection,Battery,01/01/2022,31/01/2022,01.01.22 - 31.01.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,794.88,,,,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
144.004,Rejected,2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,31/12/2021,31/01/2022,31.12.21 - 31.01.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,415.72,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,A,,,,WS2,
144.005,Rejected,2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/01/2022,31/01/2022,01.01.22 - 31.01.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,366.32,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,A,,,,WS2,
144.006,Rejected,2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/01/2022,31/01/2022,01.01.22 - 31.01.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,1677.58,,,YES,,,,,14.8,37,37,14.8,37,14.8,37,,,A,,,,WS2,
144.007,Accepted,NA,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,31/12/2021,31/01/2022,31.12.21 - 31.01.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,100.62,,,YES,,,,,3.6,9,9,3.6,9,3.6,9,,,B,,,,CM13,
144.008,Accepted,NA,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,01/01/2022,31/01/2022,01.01.22 - 31.01.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,83.97,,,YES,,,,,3.6,9,9,3.6,9,3.6,9,,,B,,,,CM13,
144.009,Accepted,NA,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,01/01/2022,31/01/2022,01.01.22 - 31.01.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,357.57,,,YES,,,,,3.6,9,9,3.6,9,3.6,9,,,B,,,,CM13,
144.010,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/12/2021,31/01/2022,31.12.21 - 31.01.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,170.1,,,,,,,,7.2,18,18,7.2,18,7.2,18,,,A,Mutually Exclusive to C,,,Various,
144.011,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/01/2022,31/01/2022,01.01.22 - 31.01.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,499.5,,,,,,,,7.2,18,18,7.2,18,7.2,18,,,B,Mutually Exclusive to C,,,Various,
144.012,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/12/2021,31/01/2022,31.12.21 - 31.01.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,269.1,,,,,,,,7.2,18,18,7.2,18,7.2,18,,,C,Mutually Exclusive to A + B,,,Various,
144.013,Rejected,4,Centrica Brigg Ltd,ROOSB-1,DNO connection,Battery,31/12/2021,31/01/2022,31.12.21 - 31.01.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,368.5,,,Yes,,,,,8.8,22,22,8.8,22,8.8,22,,,A,Mutually Exclusive to C,,,LA13,
