Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
146.001,Rejected,2.0,GRIDRESERVE LIMITED,ARNKB-3,DNO connection,Battery,28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,418.18,,,,,,,,11.6,29,29,11.6,29,11.6,29,,,, ,,,EH48,
146.002,Rejected,2.0,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,682.24,,,YES,,,,,16.4,41,41,16.4,41,16.4,41,,,,,,,WS2,
146.003,Accepted,NA,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,152.3,,,YES,,,,,4,10,10,4,10,4,10,,,,,,,CM13,
146.004,Rejected,2.0,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,185.28,,,,,,,,6.4,16,16,6.4,16,6.4,16,,,A,Mutually Exclusive to C,,,Various,
146.005,Rejected,2.0,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,580.48,,,,,,,,6.4,16,16,6.4,16,6.4,16,,,B,Mutually Exclusive to C,,,Various,
146.006,Rejected,2.0,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,276,,,,,,,,6.4,16,16,6.4,16,6.4,16,,,C,Mutually Exclusive to A + B,,,Various,
146.007,Accepted,NA,CentricaBusiness Solutions Uk Opimisation UK Ttd,CBSO-2,DNO connection,DSF: Distributed generation (for export),28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,26.6,,,,,,,,,,,,,,,,,A,,,7,BS2 8,
146.008,Accepted,NA,CentricaBusiness Solutions Uk Opimisation UK Ttd,CBSO-2,DNO connection,DSF: Distributed generation (for export),01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,26.6,,,,,,,,,,,,,,,,,B,,,7,BS2 8,
146.009,Accepted,NA,CentricaBusiness Solutions Uk Opimisation UK Ttd,CBSO-2,DNO connection,DSF: Distributed generation (for export),01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,26.6,,,,,,,,,,,,,,,,,C,,,7,BS2 8,
146.010,Accepted,NA,CentricaBusiness Solutions Uk Opimisation UK Ttd,V__LCEND001,DNO connection,DSF: Storage (for export),28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,11.58,,,YES,,,,,0.4,1,1,0.4,1,0.4,1,,,A,Mutually Exclusive to C,,,TR27 ,
146.011,Rejected,2.0,CentricaBusiness Solutions Uk Opimisation UK Ttd,V__LCEND002,DNO connection,DSF: Storage (for export),01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,36.28,,,YES,,,,,0.4,1,1,0.4,1,0.4,1,,,B,Mutually Exclusive to C,,,TR27 ,
146.012,Rejected,4.0,CentricaBusiness Solutions Uk Opimisation UK Ttd,V__LCEND003,DNO connection,DSF: Storage (for export),28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,17.25,,,YES,,,,,0.4,1,1,0.4,1,0.4,1,,,C,Mutually Exclusive to A + B,,,TR27 ,
146.013,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,1100,12,2300,1100,12,2300,1100,12,3.95,,,,,,,,,,,,,,,,,, ,,1,,
146.014,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,7.9,,,,,,,,,,,,,,,,,,,,2,,
146.015,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,1900,2300,4,1900,2300,4,1900,2300,4,7.9,,,,,,,,,,,,,,,,,,,,2,,
146.016,Accepted,NA,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,58.5,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,, ,,,MK45,
146.017,Accepted,NA,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,195,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
146.018,Rejected,2.0,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,185,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
146.019,Accepted,NA,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,299,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
146.020,Rejected,2.0,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),28/02/2022,31/03/2022,28.02.22 - 31.03.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,490,,,YES,,,,,19.6,49,49,19.6,49,19.6,49,,,,,,,ME10,
146.021,Rejected,2.0,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,465.5,,,YES,,,,,19.6,49,49,19.6,49,19.6,49,,,,,,,ME10,
146.022,Accepted,NA,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),01/03/2022,31/03/2022,01.03.22 - 31.03.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,661.5,,,YES,,,,,19.6,49,49,19.6,49,19.6,49,,,,,,,ME10,
