Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
147.001,Accepted,NA,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,1500,16,,,,,,,372.36,,,YES,,,,,11.6,29,29,11.6,29,11.6,29,,,, ,,,EH48,
147.002,Accepted,NA,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,2300,8,,,,,,,784.74,,,YES,,,,,11.6,29,29,11.6,29,11.6,29,,,,,,,EH48,
147.003,Accepted,NA,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,,,,2300,1500,16,2300,1500,16,525.19,,,YES,,,,,11.6,29,29,11.6,29,11.6,29,,,,,,,EH48,
147.004,Accepted,NA,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,1500,16,,,,,,,580.97,,,YES,,,,,16.4,41,41,16.4,41,16.4,41,,,,,,,WS2,
147.005,Rejected,2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,2300,8,,,,,,,1231.64,,,YES,,,,,16.4,41,41,16.4,41,16.4,41,,,,,,,WS2,
147.006,Accepted,NA,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,,,,2300,1500,16,2300,1500,16,816.72,,,YES,,,,,16.4,41,41,16.4,41,16.4,41,,,,,,,WS2,
147.007,Rejected,2,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,145,,,YES,,,,,4,10,10,4,10,4,10,,,,,,,CM13,
147.008,Rejected,2,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,145,,,YES,,,,,4,10,10,4,10,4,10,,,,,,,CM13,
147.009,Accepted,NA,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,255,,,YES,,,,,4,10,10,4,10,4,10,,,,,,,CM13,
147.010,Accepted,NA,ATTUNE ENERGY,ERNES-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,1900,4,,,,,,,74.99,,,,,,,,,,,,,,,,,, ,,20,PL5,
147.011,Accepted,NA,FLEXIBLE GENERATION,CRMU-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,1900,4,,,,,,,75,,,,,,,,,,,,,,,,,,,,20,NP11,
147.012,Accepted,NA,FLEXIBLE GENERATION,CRMU-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.01,,,,,,,,,,,,,,,,,,,,20,NP11,
147.013,Accepted,NA,PRECISE ENERGY ,STOWA-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,1900,4,,,,,,,76,,,,,,,,,,,,,,,,,,,,20,IP14,
147.014,Accepted,NA,PRECISE ENERGY ,STOWA-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75,,,,,,,,,,,,,,,,,,,,20,IP14,
147.015,Accepted,NA,VALENCE POWER,STOWB-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,1900,4,,,,,,,76.01,,,,,,,,,,,,,,,,,,,,20,IP14,
147.016,Accepted,NA,VALENCE POWER,STOWB-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.01,,,,,,,,,,,,,,,,,,,,20,IP14,
147.017,Accepted,NA,BALANCE POWER,IPSWA-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,1900,4,,,,,,,75.5,,,,,,,,,,,,,,,,,,,,20,IP3,
147.018,Accepted,NA,BALANCE POWER,IPSWA-1,DNO connection,Bio Fuel,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.1,,,,,,,,,,,,,,,,,,,,20,IP3,
147.019,Rejected,2,Centrica Brigg Ltd,ROOSB-1,DNO connection,Battery,31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,902,,,Yes,,,,,17.6,44,44,17.6,44,17.6,44,,,A,,,,LA13 ,
147.02,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,45.55,,,No,,,,,2,5,5,2,5,2,5,,,A,Mutually Exclusive to B + C,,,Various,
147.021,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,50.55,,,No,,,,,2,5,5,2,5,2,5,,,B,Mutually Exclusive to A,,,Various,
147.022,Rejected,4,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,91.75,,,No,,,,,2,5,5,2,5,2,5,,,C,Mutually Exclusive to A,,,Various,
147.023,Rejected,2,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,9.11,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,A,Mutually Exclusive to B + C,,,TR27,
147.024,Rejected,2,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,10.11,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,B,Mutually Exclusive to A,,,TR27,
147.025,Rejected,2,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,18.35,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,C,Mutually Exclusive to A,,,TR27,
147.026,Rejected,2,Centrica Business Solutions Uk Optimisation UK Ltd,V__BCEND002,DNO connection,DSF: Storage (for export),31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,184.5,,,Yes,,,,,3.6,9,9,3.6,9,3.6,9,,,A,Mutually Exclusive to B + C,,,LN1 2,
147.027,Rejected,2,Centrica Business Solutions Uk Optimisation UK Ltd,V__BCEND002,DNO connection,DSF: Storage (for export),31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,198,,,Yes,,,,,3.6,9,9,3.6,9,3.6,9,,,B,Mutually Exclusive to A,,,LN1 2,
147.028,Rejected,2,Centrica Business Solutions Uk Optimisation UK Ltd,V__BCEND002,DNO connection,DSF: Storage (for export),01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,395,,,Yes,,,,,3.6,9,9,3.6,9,3.6,9,,,C,Mutually Exclusive to A,,,LN1 2,
147.029,Accepted,NA,Centrica Business Solutions Uk Optimisation UK Ltd,CBSO-2,DNO connection,DSF: Distributed generation (for export),31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,26.6,,,No,,,,,,,,,,,,,,A,,,7,BS2 8,
147.03,Accepted,NA,Centrica Business Solutions Uk Optimisation UK Ltd,CBSO-2,DNO connection,DSF: Distributed generation (for export),01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,26.6,,,No,,,,,,,,,,,,,,B,,,7,BS2 8,
147.031,Accepted,NA,Centrica Business Solutions Uk Optimisation UK Ltd,CBSO-2,DNO connection,DSF: Distributed generation (for export),01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,26.6,,,No,,,,,,,,,,,,,,C,,,7,BS2 8,
147.032,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,1100,12,2300,1100,12,2300,1100,12,3.95,,,,,,,,,,,,,,,,,, ,,1,,
147.033,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,7.9,,,,,,,,,,,,,,,,,,,,2,,
147.034,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,1900,2300,4,1900,2300,4,1900,2300,4,7.9,,,,,,,,,,,,,,,,,,,,2,,
147.035,Accepted,NA,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,68.94,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,, ,,,MK45,
147.036,Accepted,NA,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),31/03/2022,30/04/2022,31.03.22 - 30.04.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,195,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
147.037,Accepted,NA,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),01/04/2022,30/04/2022,01.04.22 - 30.04.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,240,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
