Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
151.001,Accepted,N/A,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,31/07/2022,31/08/2022,31.07.22 - 31.08.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,297.62,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,, ,,,NE27 ,
151.002,Accepted,N/A,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,367.54,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,NE27 ,
151.003,Accepted,N/A,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,632.04,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,NE27 ,
151.004,Accepted,N/A,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,31/07/2022,31/08/2022,31.07.22 - 31.08.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,373.14,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
151.005,Accepted,N/A,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,441.18,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
151.006,Accepted,N/A,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,1900,4,1500,2300,8,809.46,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
151.007,Accepted,N/A,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,31/07/2022,31/08/2022,31.07.22 - 31.08.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,105.98,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
151.008,Accepted,N/A,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,139.86,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
151.009,Accepted,N/A,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,227.43,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
151.010,Accepted,N/A,ATTUNE ENERGY,ERNES-1,DNO connection,Bio Fuel,31/07/2022,31/08/2022,31.07.22 - 31.08.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.01,,,,,,,,,,,,,,,,,, ,,20,PL5 2,
