service,efa_date,delivery_start,delivery_end,efa,cleared_volume,clearing_price,service_type,auction_id
DRH,2023-12-21,2023-12-21T19:00:00+0000,2023-12-21T23:00:00+0000,6,350.0,-3.37,Response,69
DML,2023-12-21,2023-12-21T19:00:00+0000,2023-12-21T23:00:00+0000,6,150.0,4.36,Response,69
DMH,2023-12-21,2023-12-21T19:00:00+0000,2023-12-21T23:00:00+0000,6,168.0,-0.15,Response,69
DCL,2023-12-21,2023-12-21T19:00:00+0000,2023-12-21T23:00:00+0000,6,924.0,1.22,Response,69
DCH,2023-12-21,2023-12-21T19:00:00+0000,2023-12-21T23:00:00+0000,6,1154.0,0.72,Response,69
DRL,2023-12-21,2023-12-21T19:00:00+0000,2023-12-21T23:00:00+0000,6,213.0,12.94,Response,69
DMH,2023-12-21,2023-12-21T15:00:00+0000,2023-12-21T19:00:00+0000,5,170.0,-0.14,Response,69
DRL,2023-12-21,2023-12-21T15:00:00+0000,2023-12-21T19:00:00+0000,5,271.0,10.77,Response,69
DCH,2023-12-21,2023-12-21T15:00:00+0000,2023-12-21T19:00:00+0000,5,1055.0,1.09,Response,69
DML,2023-12-21,2023-12-21T15:00:00+0000,2023-12-21T19:00:00+0000,5,150.0,4.85,Response,69
DCL,2023-12-21,2023-12-21T15:00:00+0000,2023-12-21T19:00:00+0000,5,848.0,2.51,Response,69
DRH,2023-12-21,2023-12-21T15:00:00+0000,2023-12-21T19:00:00+0000,5,350.0,-5.43,Response,69
DRH,2023-12-21,2023-12-21T11:00:00+0000,2023-12-21T15:00:00+0000,4,350.0,-5.48,Response,69
DCL,2023-12-21,2023-12-21T11:00:00+0000,2023-12-21T15:00:00+0000,4,835.0,1.02,Response,69
DMH,2023-12-21,2023-12-21T11:00:00+0000,2023-12-21T15:00:00+0000,4,167.0,-0.16,Response,69
DCH,2023-12-21,2023-12-21T11:00:00+0000,2023-12-21T15:00:00+0000,4,1089.0,1.1,Response,69
DML,2023-12-21,2023-12-21T11:00:00+0000,2023-12-21T15:00:00+0000,4,149.0,3.44,Response,69
DRL,2023-12-21,2023-12-21T11:00:00+0000,2023-12-21T15:00:00+0000,4,271.0,9.1,Response,69
DML,2023-12-21,2023-12-21T07:00:00+0000,2023-12-21T11:00:00+0000,3,150.0,3.44,Response,69
DRH,2023-12-21,2023-12-21T07:00:00+0000,2023-12-21T11:00:00+0000,3,350.0,-4.0,Response,69
DCH,2023-12-21,2023-12-21T07:00:00+0000,2023-12-21T11:00:00+0000,3,1155.0,1.1,Response,69
DRL,2023-12-21,2023-12-21T07:00:00+0000,2023-12-21T11:00:00+0000,3,273.0,9.6,Response,69
DCL,2023-12-21,2023-12-21T07:00:00+0000,2023-12-21T11:00:00+0000,3,926.0,1.22,Response,69
DMH,2023-12-21,2023-12-21T07:00:00+0000,2023-12-21T11:00:00+0000,3,150.0,0.14,Response,69
DCL,2023-12-21,2023-12-21T03:00:00+0000,2023-12-21T07:00:00+0000,2,977.0,0.8,Response,69
DCH,2023-12-21,2023-12-21T03:00:00+0000,2023-12-21T07:00:00+0000,2,1187.0,3.9,Response,69
DRH,2023-12-21,2023-12-21T03:00:00+0000,2023-12-21T07:00:00+0000,2,330.0,5.84,Response,69
DMH,2023-12-21,2023-12-21T03:00:00+0000,2023-12-21T07:00:00+0000,2,150.0,4.82,Response,69
DRL,2023-12-21,2023-12-21T03:00:00+0000,2023-12-21T07:00:00+0000,2,325.0,5.13,Response,69
DML,2023-12-21,2023-12-21T03:00:00+0000,2023-12-21T07:00:00+0000,2,150.0,2.16,Response,69
DMH,2023-12-21,2023-12-20T23:00:00+0000,2023-12-21T03:00:00+0000,1,150.0,1.69,Response,69
DCL,2023-12-21,2023-12-20T23:00:00+0000,2023-12-21T03:00:00+0000,1,951.0,0.84,Response,69
DRL,2023-12-21,2023-12-20T23:00:00+0000,2023-12-21T03:00:00+0000,1,186.0,9.0,Response,69
DCH,2023-12-21,2023-12-20T23:00:00+0000,2023-12-21T03:00:00+0000,1,1182.0,2.02,Response,69
