id,battery_output
39457,-0.05016559
39458,0.011255178
39459,0.107160321
39460,-0.417676921
39461,0.022534132
39462,-0.497470509
39463,-0.56184172
39464,-0.262883207
39465,-0.124227201
39466,-0.001538904
39467,0.107577967
39468,0.071497864
39469,-0.192845488
39470,-0.004855869
39471,0.098032765
39472,0.09645566
39473,0.052187725
39474,0.181382373
39475,0.255031201
39476,0.027414678
39477,0.028520894
39478,-0.116035642
39479,0.011611544
39480,-0.079225787
39481,-0.00507734
39482,0.019479492
39483,-0.014564941
39484,0.078865458
39485,-0.192228464
39486,-0.06498583
39487,-0.027024674
39488,-0.0204569
39489,-0.135987042
39490,-0.026982873
39491,0.002433466
39492,-0.24223914
39493,-0.170069056
39494,-0.39662487
39495,-0.08328703
39496,-0.163038818
39497,-0.0788365
39498,-0.090132763
39499,0.054187509
39500,0.019419267
39501,-0.045190845
39502,0.0091556
39503,-0.265708329
39504,-0.163088925
39505,-0.028321282
39506,-0.105382668
39507,-0.199696195
39508,-0.141420937
39509,-0.351931944
39510,0.027945697
39511,0.00942032
39512,0.295565326
39513,-0.06347926
39514,-0.364808854
39515,-0.093385976
39516,-0.433662245
39517,-0.181011346
39518,-0.111471193
39519,-0.146559705
39520,-0.151094233
39521,-0.181246815
39522,0.014321981
39523,-0.031462296
39524,-0.357535242
39525,-0.372739719
39526,-0.513468024
39527,-0.076553275
39528,-0.428857911
39529,-0.229883337
39530,-0.083087783
39531,-0.104525247
39532,-0.285384833
39533,-0.107973786
39534,-0.047363435
39535,-0.312917568
39536,-0.221867187
39537,-0.019458547
39538,-0.162220425
39539,-0.292215251
39540,-0.399727253
39541,-0.223314115
39542,-0.370640576
39543,-0.195914577
39544,-0.12088053
39545,-0.113907031
39546,-0.262204707
39547,-0.113842561
39548,-0.077384548
39549,-0.042957796
39550,-0.028649489
39551,-0.145060326
39552,-0.236965129
39553,-0.455283691
39554,-0.132568298
39555,-0.139230911
39556,-0.221189887
39557,-0.203759169
39558,-0.15029942
39559,-0.240680715
39560,-0.194168223
39561,-0.032074564
39562,-0.185037844
39563,6.12E-05
39564,-0.405319055
39565,-0.186013063
39566,0.044666779
39567,-0.110317705
39568,-0.12394193
39569,0.103590811
39570,-0.081424656
39571,-0.089931293
39572,-0.082779014
39573,-0.074014654
39574,-0.243005052
39575,-0.065951625
39576,-0.025244101
39577,-0.206518864
39578,-0.250135571
39579,-0.076383033
39580,-0.130332002
39581,-0.140216815
39582,-0.383957211
39583,-0.418891247
39584,-0.251152095
39585,0.054175124
39586,0.036971497
39587,-0.1780938
39588,-0.222448775
39589,-0.296324415
39590,-0.284322056
39591,-0.249203046
39592,-0.309470331
39593,-0.129318176
39594,-0.112661138
39595,-0.198498741
39596,-0.055934606
39597,-0.125646253
39598,-0.143570114
39599,-0.252685618
39600,-0.234582191
39601,0.085691615
39602,-0.021433277
39603,0.037395315
39604,0.01312792
39605,-0.259684492
39606,-0.115889766
39607,-0.180980014
39608,-0.194872904
39609,0.043664245
39610,0.078622167
39611,-0.238889371
39612,-0.131373013
39613,-0.177136423
39614,-0.097787185
39615,-0.020157518
39616,0.066990126
39617,-0.453198556
39618,-0.324418973
39619,-0.284213304
39620,-0.459732712
39621,-0.467430573
39622,-0.062014521
39623,0.059155978
39624,-0.020646681
39625,0.049497292
39626,-0.210821165
39627,-0.075329822
39628,-0.021561508
39629,-0.000827506
39630,-0.004571236
39631,-0.316374688
39632,-0.015059869
39633,0.148434895
39634,-0.028083461
39635,-0.218298831
39636,-0.416441717
39637,-0.732355713
39638,-0.564127181
39639,-0.309250596
39640,-0.422991975
39641,-0.546518084
39642,-0.406385579
39643,-0.199961676
39644,-0.212184578
39645,-0.009861729
39646,0.04038461
39647,-0.105378292
39648,-0.145524273
39649,0.012044673
39650,0.031976001
39651,-0.364658823
39652,-0.068339707
39653,0.064677457
39654,0.128142603
39655,-0.191565028
39656,0.149522644
39657,-0.130846525
39658,0.071034939
39659,0.025887189
39660,-0.062661669
39661,-0.016751017
39662,0.020895041
39663,0.050169703
39664,-0.378592523
39665,0.082448452
39666,0.125848823
39667,-0.001424961
39668,-0.009389726
39669,0.074119625
39670,-0.143023471
39671,-0.351303836
39672,-0.731131127
39673,-0.195802794
39674,0.100477423
39675,0.0443649
39676,-0.287874308
39677,-0.103931692
39678,0.008119897
39679,-0.159992918
39680,-0.122887281
39681,-0.116828778
39682,0.076230424
39683,-0.297839165
39684,-0.257138627
39685,-0.138788275
39686,-0.106490626
39687,-0.163297482
39688,-0.227677807
39689,-0.201944472
39690,-0.284608073
39691,-0.121903087
39692,-0.053823971
39693,-0.084541036
39694,-0.116718649
39695,-0.25731855
39696,-0.252806491
39697,-0.254882844
39698,-0.435928129
39699,-0.06395053
39700,0.060030455
39701,-0.273319689
39702,-0.117767884
39703,-0.204265685
39704,0.104539799
39705,-0.042785972
39706,-0.130875422
39707,-0.21134758
39708,-0.290394956
39709,-0.124415946
39710,0.089923278
39711,-0.174867594
39712,-0.068946997
39713,-0.181367851
39714,-0.110854243
39715,-0.240760528
39716,-0.48015563
39717,-0.068837694
39718,-0.06635269
39719,0.100957777
39720,-0.332865255
39721,-0.408577878
39722,-0.103350262
39723,-0.17762119
39724,0.206692204
39725,-0.098571431
39726,-0.032388684
39727,-0.59454239
39728,-0.07597362
39729,-0.360518142
39730,-0.093560803
39731,-0.280871186
39732,0.107474668
39733,0.038207991
39734,-0.099186274
39735,-0.155209439
39736,-0.084684575
39737,-0.12325519
39738,-0.204953277
39739,-0.123784182
39740,-0.303246996
39741,-0.106796243
39742,-0.09366892
39743,-0.107074139
39744,-0.272436001
39745,-0.27883543
39746,-0.201058452
39747,0.102237658
39748,0.067769641
39749,0.000457658
39750,-0.065410978
39751,-0.259083227
39752,-0.086085497
39753,-0.191833629
39754,-0.024446203
39755,0.042624305
39756,0.0243256
39757,0.032965725
39758,0.06109266
39759,0.073543007
39760,0.068832251
39761,-0.079755196
39762,0.086008319
39763,0.01727198
39764,0.078777654
39765,-0.120571156
39766,-0.403644331
39767,-0.300581726
39768,-0.804512142
39769,-0.191920847
39770,-0.105990292
39771,-0.153405987
39772,-0.35543115
39773,-0.151816
39774,-0.169970571
39775,-0.064170467
39776,0.004210712
39777,0.066242212
39778,0.177816925
39779,-0.033384167
39780,-0.168668545
39781,-0.126654746
39782,-0.259960543
39783,-0.300694449
39784,-0.211728156
39785,-0.11803114
39786,-0.042760209
39787,-0.1534703
39788,-0.025286691
39789,-0.024694823
39790,-0.049154671
39791,0.004418389
39792,-0.108433993
39793,-0.193926477
39794,-0.170956465
39795,-0.202013683
39796,0.024258792
39797,-0.141381334
39798,-0.008790249
39799,-0.055582832
39800,-0.318939869
39801,-0.121537748
39802,-0.140348353
39803,-0.059009626
39804,0.027740504
39805,-0.075272762
39806,-0.013058829
39807,0.057292372
39808,-0.106323245
39809,-0.18667601
39810,-0.244987275
39811,-0.344482448
39812,-0.169050544
39813,-0.345171855
39814,-0.248163817
39815,-0.303628664
39816,-0.398082615
39817,-0.08513538
39818,-0.051851705
39819,-0.325133434
39820,-0.002522888
39821,-0.131745517
39822,-0.044880664
39823,-0.401470012
39824,-0.219790923
39825,-0.364601143
39826,-0.471264909
39827,-0.464994676
39828,-0.399103911
39829,-0.058250184
39830,-0.487886264
39831,-0.497491021
39832,-0.315843014
39833,-0.18869492
39834,-0.249550011
39835,-0.316706124
39836,-0.17236476
39837,-0.136964101
39838,0.02765283
39839,-0.152530768
39840,-0.168692935
39841,-0.338478232
39842,-0.32770722
39843,0.051429558
39844,-0.070875848
39845,-0.387543369
39846,-0.202168612
39847,0.187504013
39848,0.13618079
39849,0.083673021
39850,0.085491753
39851,-0.071791512
39852,0.146969309
39853,0.143917329
39854,0.311842335
39855,0.119491409
39856,-0.075714587
39857,-0.137626351
39858,-0.25849253
39859,0.000769176
39860,0.053405257
39861,-0.473316565
39862,-0.350019789
39863,-0.050545274
39864,-0.164267318
39865,-0.016387951
39866,0.029690877
39867,-0.07867282
39868,0.034778399
39869,-0.018844005
39870,-0.01047378
39871,0.008849721
39872,-0.047031777
39873,-0.066990445
39874,-0.067912814
39875,-0.040636036
39876,-0.424169051
39877,-0.309447854
39878,-0.383124436
39879,-0.192342729
39880,-0.330247497
39881,-0.150145441
39882,-0.189174291
39883,0.106545941
39884,-0.046310115
39885,-0.016900064
39886,-0.031478169
39887,-0.07581612
39888,-0.320867025
39889,-0.264215678
39890,-0.130923992
39891,0.226348572
39892,0.081797126
39893,0.104186694
39894,0.052284973
39895,0.087223854
39896,0.286326147
39897,-0.001685951
39898,-0.228496652
39899,-0.410713989
39900,-0.425113264
39901,-0.68937444
39902,-0.600778479
39903,-0.088293466
39904,-0.159990612
39905,-0.014833743
39906,0.227641135
39907,-0.14937249
39908,-0.030730891
39909,-0.036468531
39910,-0.046944061
39911,-0.070608077
39912,-0.25488019
39913,-0.277426098
39914,-0.275231175
39915,-0.420058436
39916,-0.008385389
39917,-0.094761093
39918,-0.0171691
39919,-0.455726907
39920,-0.057809266
39921,0.048597372
39922,-0.195339539
