id,battery_output
39457,1.295907419
39458,-1.006198098
39459,0.172607693
39460,-1.271137767
39461,-3.347384808
39462,-1.060978251
39463,-4.509460764
39464,-3.199199736
39465,-3.041963771
39466,-0.782550604
39467,-0.548540044
39468,1.819321029
39469,1.981741975
39470,-2.640000197
39471,-0.658913662
39472,1.428953001
39473,1.486574908
39474,1.189653488
39475,1.040406998
39476,2.333812366
39477,0.888680818
39478,0.634202596
39479,-0.733944033
39480,0.859565225
39481,-0.490649418
39482,-0.094843399
39483,0.298355829
39484,0.276621388
39485,0.712002204
39486,-1.714819544
39487,0.64274387
39488,0.12129105
39489,-0.077151095
39490,-2.908676549
39491,-1.068212677
39492,0.066279069
39493,-1.316401157
39494,-1.307779198
39495,-3.395797191
39496,2.32296105
39497,-1.130009498
39498,2.165680409
39499,-1.260549931
39500,2.310111601
39501,1.56392121
39502,0.372757984
39503,0.050395232
39504,-1.206070696
39505,-0.379115868
39506,0.397375104
39507,0.351567349
39508,-1.509704163
39509,-1.293279258
39510,-1.641812288
39511,0.919802235
39512,0.388889773
39513,1.120553801
39514,1.076541248
39515,-2.872485655
39516,0.47676006
39517,-3.760834789
39518,-1.550189232
39519,-0.775048706
39520,-0.961209884
39521,-1.175644879
39522,-0.833830667
39523,1.251682835
39524,1.8291411
39525,-1.169773381
39526,-1.092108392
39527,-1.723391027
39528,0.448495496
39529,-1.065555918
39530,-0.354608134
39531,0.582116944
39532,1.526557805
39533,-0.548162392
39534,0.72041533
39535,1.457241932
39536,-0.502610577
39537,-0.118791926
39538,0.726212469
39539,-0.068347376
39540,-0.326987532
39541,-1.17904302
39542,-0.155346388
39543,-0.583911167
39544,0.385115123
39545,1.348871835
39546,1.528424875
39547,-1.113573034
39548,1.084719973
39549,0.779144731
39550,2.275001157
39551,-0.106507106
39552,-0.14621586
39553,-0.64824451
39554,-1.201030309
39555,0.589594652
39556,-1.146789703
39557,-1.174538646
39558,-0.474637483
39559,-0.587400108
39560,-0.44419931
39561,-0.595106421
39562,0.407482402
39563,-0.856527828
39564,1.602862435
39565,-1.821592817
39566,-0.402245541
39567,1.068441608
39568,-0.281255006
39569,1.119657921
39570,2.556018635
39571,0.831785309
39572,0.963931749
39573,1.724194987
39574,1.806431655
39575,0.189073906
39576,0.113244248
39577,0.132269985
39578,-0.904691156
39579,-1.417416921
39580,0.571800999
39581,-0.722800081
39582,-0.215540709
39583,-1.926776748
39584,-1.878552459
39585,-1.043549748
39586,0.738051838
39587,1.496006121
39588,-0.234936461
39589,-0.304093603
39590,-1.054518942
39591,-1.036702599
39592,-0.193671288
39593,-0.864185054
39594,1.323017242
39595,0.012648788
39596,-0.389264733
39597,0.829467073
39598,-0.608634848
39599,-1.019981126
39600,-0.90094088
39601,-0.764429407
39602,1.416236576
39603,1.271155532
39604,0.483174142
39605,-0.191853788
39606,-1.279841746
39607,-1.082716019
39608,-1.112164457
39609,-1.592274869
39610,0.854333795
39611,0.82647216
39612,-1.073179855
39613,-0.513565537
39614,-1.026421781
39615,-0.74509955
39616,-0.721870519
39617,1.159901638
39618,-3.171579979
39619,-1.391564436
39620,-0.748582058
39621,-0.973595115
39622,-0.565192293
39623,0.896423943
39624,1.258283542
39625,1.48834641
39626,1.753577703
39627,-0.776445142
39628,0.507062505
39629,0.29330895
39630,0.712909224
39631,1.131652692
39632,-0.989224495
39633,1.683599309
39634,1.61147305
39635,-0.306719178
39636,-0.400366594
39637,-1.696816412
39638,-3.524664437
39639,-2.516453127
39640,-0.375342156
39641,-1.265728235
39642,-2.778411479
39643,-3.258868394
39644,-0.053601508
39645,-0.979676582
39646,1.132992623
39647,1.960064799
39648,0.201568645
39649,-0.200539335
39650,1.770808376
39651,1.61581831
39652,-0.995313073
39653,-0.56931176
39654,1.077830893
39655,1.418575081
39656,-0.825988268
39657,1.951239302
39658,-0.37969323
39659,1.709136615
39660,-0.403285367
39661,-0.572610495
39662,0.00417182
39663,0.316585147
39664,0.883506705
39665,-1.782108148
39666,1.245398523
39667,2.292270653
39668,0.396935757
39669,0.303077687
39670,1.51250082
39671,-0.28919468
39672,-1.331634832
39673,-2.609508453
39674,-0.942619146
39675,2.830982839
39676,0.164201111
39677,-1.052495361
39678,-0.616242598
39679,0.293667297
39680,-0.033685656
39681,0.128479188
39682,-0.118640269
39683,1.992532887
39684,-1.032039063
39685,-0.670210361
39686,0.104342082
39687,1.524599875
39688,0.023957268
39689,0.003145028
39690,-0.724465992
39691,-1.537774005
39692,0.952678292
39693,1.568930655
39694,0.236334853
39695,1.130056307
39696,-1.207787978
39697,-1.530209703
39698,-0.734731082
39699,-1.111746263
39700,0.054899734
39701,0.583884153
39702,-0.807496593
39703,-0.904511864
39704,-0.929698083
39705,1.571296824
39706,0.614684817
39707,0.178087008
39708,-1.436817811
39709,-1.387788557
39710,-0.999711112
39711,1.431134876
39712,-0.819981739
39713,0.463975819
39714,-0.876243566
39715,-0.487281766
39716,-0.658084344
39717,-1.300126188
39718,1.357719705
39719,0.896415139
39720,1.362781387
39721,-0.9532181
39722,-2.916733637
39723,-0.50862718
39724,-0.525309468
39725,2.466689299
39726,0.481696458
39727,1.147209774
39728,-3.292494163
39729,0.57013592
39730,-1.877809289
39731,-0.774186135
39732,-0.03702538
39733,2.379487515
39734,1.606889406
39735,1.191253691
39736,1.568105654
39737,0.813201669
39738,1.714403372
39739,-1.430225546
39740,-0.133484897
39741,-1.701055175
39742,-0.765664134
39743,-0.355586913
39744,0.46501912
39745,-1.122806214
39746,0.03822732
39747,1.283975023
39748,1.461229029
39749,0.910634361
39750,0.749057463
39751,-0.668062392
39752,-0.746867329
39753,-1.022720006
39754,-1.323247982
39755,0.039844871
39756,0.525365462
39757,0.297810196
39758,1.103888248
39759,-0.920332343
39760,1.981783844
39761,0.419384202
39762,-1.077728034
39763,2.591942679
39764,-0.049226395
39765,0.281573672
39766,0.899915095
39767,-1.558054836
39768,-1.271840434
39769,-4.591729291
39770,-0.586491902
39771,0.800030965
39772,1.456524296
39773,-0.257367952
39774,0.94032402
39775,-0.883345968
39776,-0.691995016
39777,-0.044532127
39778,0.983838435
39779,1.14014677
39780,0.491839443
39781,-0.117305662
39782,-0.250834362
39783,-0.726302328
39784,-1.436715694
39785,-0.387553534
39786,0.311995335
39787,0.00069106
39788,-0.916828211
39789,1.482265668
39790,0.105675449
39791,-0.389796119
39792,-0.382789772
39793,-1.518901621
39794,-0.320059489
39795,-0.303044849
39796,-1.575563794
39797,-0.141573147
39798,0.011298057
39799,0.358586266
39800,0.081555208
39801,-1.289572164
39802,0.706524376
39803,-0.286916299
39804,0.807292176
39805,0.586195509
39806,0.129367587
39807,-0.005310617
39808,0.89969729
39809,-0.944173883
39810,-0.989375323
39811,-1.308311038
39812,-1.51452629
39813,0.984811479
39814,-1.089051576
39815,-0.745283384
39816,-0.613827953
39817,-1.041449801
39818,1.079111688
39819,1.133482712
39820,-0.864513882
39821,1.384919223
39822,0.871273015
39823,1.199793749
39824,-1.033866137
39825,-0.322041084
39826,-1.582935358
39827,-3.116702374
39828,-1.39779726
39829,-0.817636056
39830,2.188601399
39831,-2.397346784
39832,-1.253584111
39833,-0.55050234
39834,0.70778693
39835,-0.587213663
39836,-1.251072123
39837,-0.105258439
39838,0.575346504
39839,0.920180656
39840,-0.094667564
39841,-0.357953472
39842,-0.24149249
39843,-0.121926639
39844,0.636422373
39845,-0.026767245
39846,-0.991459993
39847,-0.821672905
39848,2.548663953
39849,1.863923178
39850,1.9844634
39851,1.512258567
39852,-0.524549201
39853,1.191656019
39854,1.13799551
39855,1.472415708
39856,0.367891459
39857,-1.078576068
39858,-0.96806916
39859,-1.355578021
39860,-0.472374766
39861,0.928046857
39862,-1.512844462
39863,-0.870551935
39864,-0.132524477
39865,-0.489736462
39866,0.30095751
39867,1.091200876
39868,0.594013832
39869,0.760459755
39870,1.273148632
39871,1.122366071
39872,0.764504847
39873,0.736537598
39874,0.522328663
39875,0.098167265
39876,0.318025096
39877,-1.763004809
39878,-1.416752982
39879,-1.598118365
39880,-0.805523425
39881,-1.442519536
39882,-0.612057789
39883,-1.605229061
39884,1.983865086
39885,0.987679192
39886,-0.512408654
39887,-0.673154873
39888,1.471805793
39889,-2.887158703
39890,-1.206719718
39891,1.222023126
39892,1.807094395
39893,0.560880594
39894,1.23125764
39895,-0.066529869
39896,1.015050856
39897,2.058804745
39898,-0.484908518
39899,-1.811964006
39900,-2.889341262
39901,-3.728844795
39902,-4.020979172
39903,-4.272678024
39904,-0.064826277
39905,-0.583619983
39906,1.217414169
39907,3.478304946
39908,1.015791072
39909,1.875976117
39910,1.596257945
39911,0.454390044
39912,0.016430239
39913,-1.028539848
39914,-1.093035362
39915,-0.967895952
39916,-1.188273053
39917,0.936559386
39918,1.306715734
39919,1.815370902
39920,-1.157331017
39921,1.929901672
