id,battery_output
39457,0.870356992
39458,-1.030912993
39459,0.124984487
39460,-1.242124575
39461,-2.757217951
39462,-1.11576041
39463,-3.884984144
39464,-2.642452613
39465,-1.708831738
39466,-0.21264728
39467,-0.214433069
39468,0.87323572
39469,1.705035447
39470,-1.971166023
39471,-0.422396503
39472,1.141153889
39473,0.844591142
39474,0.810672173
39475,0.273016121
39476,2.204984554
39477,0.555053516
39478,0.389318586
39479,-0.821581473
39480,0.675555625
39481,-0.333317914
39482,-0.08143931
39483,0.167700074
39484,0.28032401
39485,0.328477899
39486,-1.181831317
39487,0.104403448
39488,0.200162297
39489,0.130519083
39490,-2.378481516
39491,-0.823472719
39492,-0.088225368
39493,-0.856646352
39494,-0.826476226
39495,-2.8678768
39496,2.370814379
39497,-0.837237863
39498,2.334660162
39499,-0.906103183
39500,2.567852826
39501,1.78980872
39502,0.483968465
39503,0.453897557
39504,-0.843370791
39505,-0.173643411
39506,0.100993465
39507,0.337277364
39508,-1.261078145
39509,-0.900619492
39510,-1.560550466
39511,1.011759638
39512,0.509359781
39513,0.570795965
39514,0.611480483
39515,-1.952882931
39516,0.529166061
39517,-2.801779627
39518,-0.812598865
39519,-0.534600574
39520,-0.572600982
39521,-0.546328879
39522,-0.387357976
39523,1.021651893
39524,1.128524621
39525,-0.729974137
39526,-0.845993959
39527,-1.280596634
39528,0.271240246
39529,-0.790030793
39530,-0.306713038
39531,0.221519788
39532,1.082784531
39533,-0.223059408
39534,0.64107515
39535,0.953477883
39536,-0.421020401
39537,-0.317237177
39538,0.533323266
39539,-0.316253871
39540,-0.79576848
39541,-0.951986517
39542,-0.257397886
39543,-0.487924594
39544,0.258652648
39545,0.959306663
39546,1.330066654
39547,-0.666359702
39548,1.313078535
39549,0.752774537
39550,2.96772385
39551,-0.071308222
39552,0.012031013
39553,-0.522110331
39554,-1.180085348
39555,0.41140262
39556,-0.826987654
39557,-1.02899496
39558,-0.475151931
39559,-0.48952129
39560,-0.54282994
39561,-0.416004537
39562,0.490783367
39563,-0.253024097
39564,1.855879318
39565,-1.082133359
39566,-0.287214642
39567,0.678857717
39568,-0.322349558
39569,0.735561764
39570,2.351866802
39571,0.608377512
39572,0.804978879
39573,1.517025669
39574,1.948906348
39575,-0.196972213
39576,-0.378858409
39577,-0.015741159
39578,-0.99638573
39579,-1.341398724
39580,0.301620692
39581,-0.703949847
39582,-0.017779303
39583,-1.46344028
39584,-2.243997564
39585,-1.091573847
39586,0.70323562
39587,1.826301788
39588,-0.352232776
39589,-0.311491031
39590,-0.768225535
39591,-1.160485406
39592,-0.494669984
39593,-1.038261076
39594,1.139207054
39595,0.010912384
39596,-0.099377747
39597,0.831981724
39598,-0.407417024
39599,-0.844761295
39600,-0.76312644
39601,-0.676921654
39602,1.358019232
39603,0.489129703
39604,0.580497399
39605,0.13892642
39606,-0.958348565
39607,-0.777504292
39608,-0.788399908
39609,-1.342879766
39610,0.544924779
39611,0.449922049
39612,-1.0724471
39613,-0.405044846
39614,-0.80065487
39615,-0.411920013
39616,-0.542119748
39617,0.851241451
39618,-2.295026652
39619,-1.136965554
39620,-0.404405434
39621,-1.006490702
39622,-0.37443831
39623,0.701381202
39624,0.916146889
39625,0.89465556
39626,2.107722548
39627,-0.660115411
39628,0.361401181
39629,0.384085939
39630,0.293753609
39631,0.771070298
39632,-0.806691047
39633,2.11991611
39634,2.05152033
39635,-0.300002644
39636,-0.4748772
39637,-1.641358058
39638,-3.030867251
39639,-2.107478717
39640,-0.316862206
39641,-1.251463731
39642,-1.793175989
39643,-2.379584309
39644,-0.121361471
39645,-1.114123742
39646,1.322016044
39647,1.908752259
39648,0.139763212
39649,-0.303524934
39650,1.247675121
39651,0.935747209
39652,-0.77932745
39653,-0.421913675
39654,0.420608869
39655,0.434580846
39656,-0.319634092
39657,1.462900428
39658,-0.341722979
39659,0.912655167
39660,-0.024762427
39661,-0.465698184
39662,0.017938013
39663,0.273250807
39664,0.262189148
39665,-1.224031438
39666,0.744424419
39667,2.198426555
39668,0.341163434
39669,0.199038518
39670,1.873316713
39671,-0.469506347
39672,-1.103091394
39673,-2.374126577
39674,-0.474673424
39675,3.135357345
39676,0.053488795
39677,-0.897711618
39678,-0.423843497
39679,0.185462976
39680,-0.062550158
39681,0.087792032
39682,-0.24769642
39683,2.094939637
39684,-0.746290154
39685,-0.710058359
39686,-0.078295578
39687,1.253109794
39688,0.183277038
39689,-0.207517393
39690,-0.513206166
39691,-1.51549791
39692,0.911733335
39693,1.715341988
39694,0.228870767
39695,1.17102507
39696,-0.90449719
39697,-1.91711791
39698,-0.533407273
39699,-0.988457361
39700,0.204388095
39701,0.568426341
39702,-0.670868834
39703,-0.535085771
39704,-0.839562211
39705,1.204533521
39706,0.120553569
39707,0.199961733
39708,-0.920711149
39709,-1.428728337
39710,-0.715191258
39711,0.731140717
39712,-0.705352817
39713,0.320337483
39714,-0.669732267
39715,-0.36678562
39716,-0.490587343
39717,-1.325572166
39718,0.800106531
39719,0.556264214
39720,1.557109194
39721,-0.764968397
39722,-2.304155963
39723,-0.493697766
39724,-0.309431025
39725,2.359230389
39726,0.408058609
39727,0.911486886
39728,-2.678143555
39729,0.262087186
39730,-2.007878766
39731,-0.733281489
